review_id,aspect,sentiment,sentiment_score,text,rating
826266,tablet,positive,0.9672659039497375,"4GB is a must nowadays, this little one has only two which makes it painful to work in Chrome browser for example. Processor is also very weak.<br />On the bright side the battery life is very good an",3.0
748095,recording,neutral,0.7283200025558472,"Overall the camera worked for keeping an eye on my dog very well. No issues with the camera itself. HOWEVER - The green light keeps going on when no one is accessing the camera, which it only does whe",3.0
19327,high quality,positive,0.8598906397819519,Anker makes the best cables out there. Fast charging and high quality. I didn't realize there was such a difference in charging cables. I will never buy anything but Anker again.,5.0
9599,Good quality,positive,0.7799650430679321,Shorter cables = faster charge. All of them work. Good quality. Just what I wanted.,5.0
851866,audio,positive,0.9159969091415404,I purchased this along with an Echo show because Amazon was offering both for about $60 dollars which I thought was a pretty great deal. The camera is good quality and records decent video and audio. ,3.0
663155,cord,negative,0.8631012439727783,Charging cord was not good but I can get one locally.,3.0
981375,durability,positive,0.7179408669471741,"I didn't have high expectations on these but have been pleasantly surprised.  I like keeping corded headphones around so I don't have to worry about an extra battery that's always dead, extra phone dr",4.0
495520,ear,neutral,0.7748005986213684,The only thing that stands out sound wise is vocals but the whole sound in general is dull  I actually perfeelred my. What ever headphones. Which was skullcandy titan.<br /><br />Ive owned all the bea,2.0
29186,laptops,positive,0.9589143991470336,"This extension cable is a great addition for laptops/computers with only 2 or 3 USB ports. If you use wireless devices such as a keyboard and mouse, they both require USB ports to be used so this cabl",5.0
489196,speakers,positive,0.6879628896713257,A beautiful looking speaker.<br /><br />The bluetooth connection is a bit slow and spotty with Apple devices. Sometimes the connection required going through the whole discovery procedure all over aga,2.0
425867,better quality,positive,0.4773978590965271,So you litterally get better quality from wallmart brand $20. Also its free from an app on phone. Definitely dont waste your money on this scam to extort money from you while they also archive your fo,1.0
866352,batteries,neutral,0.9039646983146667,"I use it to carry my Canon SX130 IS, and I find it's good for that purpose.<br /><br />I have posted a couple of pics under the main Amazon product picture, so check them to get an idea on how the SX1",4.0
318907,their products,neutral,0.6383984684944153,"Worked great for one year, and now randomly powers down rendering my home network disabled.  I've reached out to APC customer support; let's see how well they support their products.",1.0
469431,speaker,positive,0.5160475373268127,This worked great for 2 weeks than then speaker stopped working. Very disappointed!,2.0
1059518,great quality,positive,0.9757245182991028,looked sturdy and worked great but i ordered the wrong size so i had to return it. excellent price though and from opening the box and tried to install it it was great quality.,4.0
300752,equipment,negative,0.8712552785873413,"The buttons fall off, its really a super delicate piece of equipment and not useful in the real world. And the Pencil holder is too loose which makes it useless.",1.0
318527,charge,negative,0.8131417036056519,"I have this head phone it has very good sound and fits well, but i have two problems. First it does not fully charge and i typically get about 2-3 hours of use before charging again. I had it plug up ",1.0
770809,ports,positive,0.9385116696357728,"Like a number of the other USB-C hubs, this one has a ton of ports for a great price. I was specifically looking for one with 2 HDMI ports, audio and ethernet, which this seemed to cover. I had to ret",3.0
764658,screws,neutral,0.547126054763794,The fit of the pi is good. Everything lines up fine.  The provided screws are not long enough to hold the sides on.  I had to find some longer screws.  Some of the screws grabbed but others did not fi,3.0
620924,cameras,neutral,0.7651888728141785,poor technology easily hacked.difficulty in cameras working,2.0
602589,Quality,neutral,0.5226843357086182,"The overall design of the bag is not bad. Its on the smallish side, but fits what I need it to. Unfortunately the construction is subpar. I've only worn it as a backpack a couple times, but the right ",2.0
419936,Samsung,neutral,0.8151437044143677,"I purchased two of these from Amazon LLC along with a standard VESA mount for dual monitors. Per Samsung, the proper screw for mounting is an M4x10 screw. The M4 screw fits in all 4 mounting holes in ",1.0
695241,speed,positive,0.8276734948158264,"I picked up two of these power strips for using at home without travelling, I wanted to give myself a couple extra plugs and usb ports in the livingroom. The power strip seems solidly made, with a nic",3.0
198538,tablet,neutral,0.6881529092788696,The Netgear N600 Router is as advertised.  I was looking for the ability to set-up and use a secure wireless home network for my laptop and tablet.  The router was easy to install and is even easier t,5.0
210488,battery life,positive,0.976984202861786,Love these. They fit great in your ear - charge super fast and keep battery life for the entire day. I started at 8 am conference calls at 100% and by 3pm was only down to 50%. Voices and sounds are c,5.0
176039,sound quality,positive,0.3987070322036743,I've had these for about a month and have generally positive feedback. Long-lasting battery life (I've worn these for nearly 8hrs at a time without the battery dying); natural feeling controls to paus,5.0
970616,phone,positive,0.5545157194137573,I like that it goes right in front of vent to keep battery cool and keeps phone from turning itself off due to hot southern summers. I have to use the vent to the left of steering wheel in Toyota Priu,4.0
1027546,light weight,positive,0.5103301405906677,"Great Bluetooth headphones for the price. Noise cancelation exceeded my expectations, didn’t think it would cancel the noise as well as it does since it is over the ear without enclosure over the enti",4.0
984510,drivers,neutral,0.8265684247016907,This laptop comes with a lot of features for the money.($580)  The wireless n card is nice and the 3gb of memory with dual core makes it easy to have a couple VMs running.  The hard drive is large eno,4.0
664697,hands,neutral,0.7040870189666748,"Let's start with I never write reviews, but I felt like I needed to on this. I was extremely torn when trying to decide between the Voyage and the Oasis. I hope this helps anyone else who is trying to",3.0
150152,devices,neutral,0.508118748664856,The TOPOLLA International Travel Power Converter comes with a carrying pouch and a set of 4 different outlet adapters. The unit itself has a standard US power plug which is nice for domestic travellin,5.0
920642,speakers,negative,0.5055069923400879,I recently bought these HP speakers to compinsate for my absolutely inadequate built in speakers in my Toshiba netbook.  I was not expecting too much because I had already plugged in a set of external,4.0
1064611,durability,negative,0.5352602601051331,"Using this for a HTPC - super quiet basic keyboard and mouse - no clicking, just a muted push/tap squishy feel.  Uses just one AA and one AAA battery.  Tiny transmitter.  Would use this in any normal ",4.0
735679,device,neutral,0.6112105250358582,Pros<br /> - amazingly light.<br />- shape of back makes it much easier to hold than previous generations<br />- display is brighter and more even than Voyage/Paperwhite<br /><br />Cons<br />- short b,3.0
924292,speed,neutral,0.7518383860588074,"These have become a go to for light modifiers. They're hands down the quickest to setup, and the cost difference between this and something that mounts to the face is enough to make up for the umbrell",4.0
171739,wifi,neutral,0.6455405354499817,"These days, you can easily find a reasonably priced 65-inch TV. But you will need a projector if you want a cinematic experience. I don't want to spend too much money on it and the size of the project",5.0
299143,app,negative,0.9167655110359192,"There are so many different errors i get when i try to watch the life feed, app is always freezing and I can never see anything for more than a few seconds. Huge waste of time money and effort trying ",1.0
956596,apps,positive,0.478341281414032,"It's great for games, but not all games or apps that I bought work.  It says I need to connect to the internet, yet I must be or my email wouldn't work if I wasn't connected.  And when typing emails, ",4.0
847730,drivers,neutral,0.7023765444755554,"I really liked this monitor and wanted to keep them. However, there is one serious flaw: Screen flickering when using displayport.<br /><br />The HDMI port worked fine. However, when connected via dis",3.0
295549,these headphones,negative,0.5214931964874268,"Since about week 2 of owning these headphones I have had difficulty keeping them paired with my phone and computer. They just all of a sudden decide to not pair, even though the device says they are p",1.0
662006,software,negative,0.4940772652626037,My card was working for 10 minutes and then would quit on me.  I ended up contacting Hauppauge who gave me an RMA number and I sent the card in.  They sent me a new one within 2 weeks and the new one ,3.0
594156,reviews,positive,0.9188852310180664,"I bought this to replace an old router because reviews made it seem as though it had a really good range. It was no better than the old router I replaced it with. If you get it, make sure you have tim",2.0
496901,cameras,neutral,0.6927564144134521,If you’re looking to protect your home this is NOT the camera to go with. The blue light will reflect and block for a good pictures or video. The night vision is completely useless as it just reflects,2.0
865136,speaker,neutral,0.722298800945282,"Pretty good for the price, but I was expecting a little bit more.<br />the box says &#34;Thunder Bass&#34; but it does not live up to that.<br /><br />The sound output is just as lout as my soda can s",4.0
965219,mouse,neutral,0.8548532128334045,"Comfortable and responsive. Has a tendency to click both buttons when pressing (large area of mouse, when pressed, Will result in a click)",4.0
543692,features,neutral,0.488016813993454,"I really want to like this router, as in general day-to-day use it works great, but after every firmware update (and there have been many) I loose hours trying to get it back up and working right agai",2.0
701203,Screen,neutral,0.6737678647041321,"Likes:  automatic daylight savings updates. Simple info and easy to use.<br />Dislikes:  I’ve never slept in pitch black rooms, but this is still too bright for me. Screen needs to have another level ",3.0
114197,These headphones,positive,0.9833176136016846,These headphones are great esp for the price point. . They are very comfortable to wear when working out and don’t slide off which is the most important thing for me.,5.0
444925,performance,negative,0.9338155388832092,"This is a nice concept, but it isn't executed very well.  I ordered two of these - one I updated with the company's software before use, the other I just kind of let it fly with, since the claim is th",2.0
902179,electronics,negative,0.4963875412940979,I am very pleased with this camera as a whole.  I was disappointed when I opened it to find it did not include a memory card or an HDMI mini-cable.  This was not pointed out in the description of the ,4.0
716472,Picture quality,positive,0.887773871421814,I Got this on a sale for like $15. It was great for a month. Access from your phone anywhere. Picture quality is pretty good for the price. It is cool that it has a speaker you can talk through. Motio,3.0
123376,computers,positive,0.9662024974822998,"Love it, changing my work drive to this device so that i can move between computers.  Have set up a backup scheme to backup to my internal drive.",5.0
712986,buttons,negative,0.8061814308166504,Works great but very cheaply made. Something rattled in the inside like it broke and have to push buttons very hard to work.,3.0
573588,Picture quality,positive,0.9545585513114928,"The people giving these good reviews obviously never used NestCams before, or even Wyze Cams.  First impression was that they look very fragile.  Even Wyze cams have better metal construction and offe",2.0
371879,headphones,neutral,0.8339210152626038,There is a port for both your headphones and the power cord.  The power cord works but the headphone jack does not work using stock Apple corded headphones.  Not happy.,1.0
824006,camera,positive,0.5673629641532898,"My wife and I do a lot day and weekend trips and I really wanted a camera that was portable and compact, yet had decent zooming capabilities. I like to think of myself as an amateur photographer as I ",3.0
108946,no complaints,positive,0.8906295299530029,"I just got an iPhone 8 and didn’t want to continue using a magnetic car mount because the metal insert would affect wireless charging, so I needed a new non-magnetic car mount. This one looked like it",5.0
595133,quality,negative,0.7231461405754089,"Picked these up and couldn’t be more disappointed, they work when they decide to and quite frankly are not reliable. Price definitely represents quality here unfortunately.",2.0
184281,cable,neutral,0.936553120613098,"I wanted to connect the TV in the kitchen to the AV Center in the living room. Since our home layout is open concept, we wanted to duplicate the living room TV display in the kitchen. (Having the two ",5.0
561770,other devices,negative,0.8451406359672546,I did a lot of research and wanted to buy something in the $50-$80 range. I had a netgear before and figured I'd try it.<br /><br />My expectations:<br />1) Increase the range of my wifi<br />2) Incre,2.0
761856,mouse,neutral,0.586993396282196,Had initial problems getting the USB keyboard port working and am continuing to have issues with it.  You MUST follow the directions to connect the device to the computers exactly!  There must be abso,3.0
682064,these headphones,positive,0.9731400012969972,The good:<br />1) The headphones work as in intended as they are easy to pair and so far I haven't had any issues with connectivity except at distances in excess of 15 or so feet (which I would expect,3.0
171251,Quality,positive,0.8858916163444519,Excellent & Quality Built,5.0
815022,good quality,positive,0.9246972799301147,****UPDATE****<br /><br /> Lasted almost 2 years<br /><br />So far the Amcrest security system it was working fine. Until few days for the system to turned two years old stop working. The DVR doesn’t ,3.0
948967,These headphones,positive,0.9810820817947388,These headphones are great. I got them to workout with. And I love them. Can't go wrong with Bose. Awesome.,4.0
225815,phones,negative,0.7320249676704407,Cords stopped charging phones within a week or so. Trash cords.,1.0
110396,Good quality,positive,0.941109538078308,The product is of Good quality. Didn't feel cheap. When plugged into aux Sound quality also good. Overall I would recommend this.,5.0
1033697,parts,neutral,0.8206531405448914,"I bought a pair from parts express, not from Amazon, about 3 years ago. The sound is still the best for me. It beats Edifier T1280 by a large margin in terms of clarify.",4.0
78620,batteries,positive,0.9680709838867188,"I got a high end name brand camera that used recoding tape cartridges when I made a vacation trip to Vancouver, BC.  I got a lot of use out of it filming Chinatown, a 360 rotating view from the restau",5.0
991307,Quality,positive,0.5761792063713074,The standard I use for reviewing the sound quality of this set of headphones is wired Radio Shack (Koss) Titanium KTX PRO 1 headphones (best bass) and Sony MDR-7520 studio headphones. I compare noise ,4.0
532796,phone,negative,0.6498287916183472,I am returning the product.  The range away from phone is very low.  I wanted to walk around the house with the phone not on me and I cant even do that.  I live in a single story 2000sq ft.  Also the ,2.0
196823,device,positive,0.8148573040962219,a must have device. charge 3 devices all at the same time!.,5.0
743588,design,neutral,0.8079179525375366,"If you just want to mount monitor with 1/4"" screw the cage is fine. However there are 2 pin holes next to each 1/4"" hole that I assumed were for arri locating pins, they are too narrow. Designer needs",3.0
996693,high quality,negative,0.7516709566116333,"Compact and easy to install.  I mounted a small tv in my office and this unit met my needs...especially for price.<br /><br />Range of motion is limited, but it does fine for what I need.<br /><br />O",4.0
956070,mouse,negative,0.7388032674789429,"This is the only Mac-specific keyboard with a touchpad in front. I hate constantly switching between keyboard and mouse, so this is the only keyboard for me.<br /><br />  Pluses:<br /><br />Only Mac k",4.0
500382,charge,negative,0.8345624804496765,"at first I was working well the product, but in a couple of days I gave many problems, the screen will be under the lighting, does not synchronize as at first with cell phone, and it takes charge, car",2.0
951135,phone calls,neutral,0.6005361080169678,"These MAXROCK True Wireless Earbuds are good for the value. They are comfortable to wear because they are light and small, they do not hurt my ears after wearing it for a long time. The paring was ext",4.0
778465,camera,positive,0.9770308136940002,The camera itself seems great. I'm finding myself confused at the purpose of this camera though. I should have read more but since I had two XT2 cameras I figured I would try this out instead of buyin,3.0
463077,apps,negative,0.9178446531295776,Very slow I'm having a hard time getting apps to work its touch screen is to touchy it'd hard to move up and down,2.0
982772,size,positive,0.89307701587677,"Included speakers are a little underwhelming as far as sound quality, but still give plenty of volume. Which is my main goal on a boat! The head unit is tiny and can be mounted just about anywhere. It",4.0
233329,cord,positive,0.7543727159500122,"Reference the Fujifilm SC-FXS100 Leather Case for Fuji S100fs, S2000HD, S8100fd, and S1000fd Digital Cameras by Fuji sold by Beach Camera:<br /><br />I usually read reviews carefully and with a grain ",1.0
292415,USB,neutral,0.9169227480888368,"When copying a file via USB 3.2, the speed fluctuates in ascending and descending order. The average speed is around 6MB / s. Waste of money. At this price, you can buy a really good third-party produ",1.0
1017717,features,positive,0.9354574680328368,Priced about right for the performance and features and it works well in my wife's 2007 Mazda 3. I plan to buy a second unit for my pickup.,4.0
